doctor_name,specialization,city,clinic,rating,reviews_count,experience_years,price,consultation_format,source,profile_url
Нуржанов Асылжан Нуржанович,Реабилитолог,Алматы,Центр вертебралогии и ортопедии доктора Ратинова- Медицинский центр,,,7,7000,,idoctor.kz,https://idoctor.kz/almaty/doctor/1228413-nurzhanov-asylzhan-nurzhanovich#review
Ибадиллаулы Ерлан,Вертебролог,Алматы,Expert Neuro - Медицинский центр на Тимирязева,5,1,,5000,,idoctor.kz,https://idoctor.kz/almaty/doctor/1228414-ibadillauly-erlan
Ибадиллаулы Ерлан,Вертебролог,Алматы,Expert Neuro - Медицинский центр на Тимирязева,5,1,,5000,,idoctor.kz,https://idoctor.kz/almaty/doctor/1228414-ibadillauly-erlan#review
Мурат Айнур Муратовна,Невролог (Невропатолог),Алматы,Центр вертебралогии и ортопедии доктора Ратинова- Медицинский центр,5,1,14,10500,,idoctor.kz,https://idoctor.kz/almaty/doctor/1228415-murat-aynur-muratovna
Мурат Айнур Муратовна,Невролог (Невропатолог),Алматы,Центр вертебралогии и ортопедии доктора Ратинова- Медицинский центр,5,1,14,10500,,idoctor.kz,https://idoctor.kz/almaty/doctor/1228415-murat-aynur-muratovna#review
Каиргали Шолпан,Психолог,Алматы,IdDrive Center – Психолого-коммуникационный центр,5,56,35,14990,,idoctor.kz,https://idoctor.kz/almaty/doctor/1228495-kairgali-sholpan
Каиргали Шолпан,Психолог,Алматы,IdDrive Center – Психолого-коммуникационный центр,5,56,35,14990,,idoctor.kz,https://idoctor.kz/almaty/doctor/1228495-kairgali-sholpan#review
Шабанова Анастасия Анатольевна,Офтальмолог (окулист),Алматы,Глазная клиника доктора Кравцова,,,5,0,,idoctor.kz,https://idoctor.kz/almaty/doctor/1228632-shabanova-anastasiya-anatolevna
Шабанова Анастасия Анатольевна,Офтальмолог (окулист),Алматы,Глазная клиника доктора Кравцова,,,5,0,,idoctor.kz,https://idoctor.kz/almaty/doctor/1228632-shabanova-anastasiya-anatolevna#review
Жұмағұлова Фарида Орымбекқызы,Офтальмолог (окулист),Алматы,AQMED - Медицинский центр на Аксай,,,,0,,idoctor.kz,https://idoctor.kz/almaty/doctor/1228664-zhmalova-farida-orymbekyzy
Жұмағұлова Фарида Орымбекқызы,Офтальмолог (окулист),Алматы,AQMED - Медицинский центр на Аксай,,,,0,,idoctor.kz,https://idoctor.kz/almaty/doctor/1228664-zhmalova-farida-orymbekyzy#review
Сулейманов Эльман Новруз,Психолог,Алматы,AziMed - Медицинский центр,5,5,,25000,,idoctor.kz,https://idoctor.kz/almaty/doctor/1228714-suleymanov-elman-novruz-ogly
Сулейманов Эльман Новруз,Психолог,Алматы,AziMed - Медицинский центр,5,5,,25000,,idoctor.kz,https://idoctor.kz/almaty/doctor/1228714-suleymanov-elman-novruz-ogly#review
Мұсабек Ақсәуле Талғатқызы,Офтальмолог (окулист),Алматы,Visiomed - Офтальмологическая клиника на Каримова,,,,12000,,idoctor.kz,https://idoctor.kz/almaty/doctor/1228730-msabek-asule-talatyzy
Мұсабек Ақсәуле Талғатқызы,Офтальмолог (окулист),Алматы,Visiomed - Офтальмологическая клиника на Каримова,,,,12000,,idoctor.kz,https://idoctor.kz/almaty/doctor/1228730-msabek-asule-talatyzy#review
Алиева Эльмира Кушалиевна,Пластический хирург,Алматы,Медицинский центр Orhun Medical на Казыбек би,,,17,20000,,idoctor.kz,https://idoctor.kz/almaty/doctor/1228752-alieva-elmira-kushalievna
Алиева Эльмира Кушалиевна,Пластический хирург,Алматы,Медицинский центр Orhun Medical на Казыбек би,,,17,20000,,idoctor.kz,https://idoctor.kz/almaty/doctor/1228752-alieva-elmira-kushalievna#review
Молдахмет Айнура Маликовна,Гастроэнтеролог,Алматы,Emirmed - Медицинский центр на Пограничной,,,8,7000,,idoctor.kz,https://idoctor.kz/almaty/doctor/1228799-moldakhmet-aynura-malikovna
Молдахмет Айнура Маликовна,Гастроэнтеролог,Алматы,Emirmed - Медицинский центр на Пограничной,,,8,7000,,idoctor.kz,https://idoctor.kz/almaty/doctor/1228799-moldakhmet-aynura-malikovna#review
Исаев Али Баурджанулы,Офтальмолог (окулист),Алматы,AQMED - Медицинский центр Шаляпина,,,,4900,,idoctor.kz,https://idoctor.kz/almaty/doctor/1229182-isaev-ali-baurdzhanuly
Исаев Али Баурджанулы,Офтальмолог (окулист),Алматы,AQMED - Медицинский центр Шаляпина,,,,4900,,idoctor.kz,https://idoctor.kz/almaty/doctor/1229182-isaev-ali-baurdzhanuly#review
Камалова Диана Булатқызы,Педиатр,Алматы,Uki - Многопрофильная клиника,5,10,5,15000,,idoctor.kz,https://idoctor.kz/almaty/doctor/1229191-kamalova-diana-bulatyzy
Камалова Диана Булатқызы,Педиатр,Алматы,Uki - Многопрофильная клиника,5,10,5,15000,,idoctor.kz,https://idoctor.kz/almaty/doctor/1229191-kamalova-diana-bulatyzy#review
Муканова Алия Маратовна,Офтальмолог (окулист),Алматы,OPEN Healthcare Kazakhstan на Яссауи,,,19,15000,,idoctor.kz,https://idoctor.kz/almaty/doctor/1229211-mukanova-aliya-maratovna
Муканова Алия Маратовна,Офтальмолог (окулист),Алматы,OPEN Healthcare Kazakhstan на Яссауи,,,19,15000,,idoctor.kz,https://idoctor.kz/almaty/doctor/1229211-mukanova-aliya-maratovna#review
Есқарина Ақниет Есқарақызы,Педиатр,Алматы,Uki - Многопрофильная клиника,5,6,5,15000,,idoctor.kz,https://idoctor.kz/almaty/doctor/1229234-esarina-aniet-esarayzy
Есқарина Ақниет Есқарақызы,Педиатр,Алматы,Uki - Многопрофильная клиника,5,6,5,15000,,idoctor.kz,https://idoctor.kz/almaty/doctor/1229234-esarina-aniet-esarayzy#review
Жолшиева Қазына Ғабитқызы,Онкомаммолог,Алматы,"Центр ЭКО и лечения бесплодия г.Алматы ""Ecomed""",,,,13500,,idoctor.kz,https://idoctor.kz/almaty/doctor/1229239-zholshieva-azyna-abityzy
Жолшиева Қазына Ғабитқызы,Онкомаммолог,Алматы,"Центр ЭКО и лечения бесплодия г.Алматы ""Ecomed""",,,,13500,,idoctor.kz,https://idoctor.kz/almaty/doctor/1229239-zholshieva-azyna-abityzy#review
Асымжанов Руслан Асымжанович,Невролог (Невропатолог),Алматы,Skolioz.kz - Клиника реабилитации позвоночника,5,30,17,18000,,idoctor.kz,https://idoctor.kz/almaty/doctor/1426-asyimjanov-ruslan-asyimjanovich
Асымжанов Руслан Асымжанович,Невролог (Невропатолог),Алматы,Skolioz.kz - Клиника реабилитации позвоночника,5,30,17,18000,,idoctor.kz,https://idoctor.kz/almaty/doctor/1426-asyimjanov-ruslan-asyimjanovich#review
Ли Ирина Николаевна,Маммолог,Алматы,VIA Medical - Медицинский центр на Тлендиева,5,75,,11000,,idoctor.kz,https://idoctor.kz/almaty/doctor/14881-irina-li-nikolaevna
Ли Ирина Николаевна,Маммолог,Алматы,VIA Medical - Медицинский центр на Тлендиева,5,75,,11000,,idoctor.kz,https://idoctor.kz/almaty/doctor/14881-irina-li-nikolaevna#review
Таракова Бибинур Кадирхановна,Маммолог,Алматы,MamaVita - Центр женского здоровья на Навои,5,9,9,0,,idoctor.kz,https://idoctor.kz/almaty/doctor/1598-tarakova-bibinur-kadirhanovna
Таракова Бибинур Кадирхановна,Маммолог,Алматы,MamaVita - Центр женского здоровья на Навои,5,9,9,0,,idoctor.kz,https://idoctor.kz/almaty/doctor/1598-tarakova-bibinur-kadirhanovna#review
Иргайбаева Гульжахан Ахиновна,Офтальмолог (окулист),Алматы,Республиканский семейно-врачебный центр (РСВЦ),5,212,26,10000,,idoctor.kz,https://idoctor.kz/almaty/doctor/1748-irgaybaeva-guljahan-ahinovna
Иргайбаева Гульжахан Ахиновна,Офтальмолог (окулист),Алматы,Республиканский семейно-врачебный центр (РСВЦ),5,212,26,10000,,idoctor.kz,https://idoctor.kz/almaty/doctor/1748-irgaybaeva-guljahan-ahinovna#review
Бошугулова Гульнар Сатыбалдиевна,Стоматолог,Алматы,"Стоматологическая клиника ""RadAn""",,,18,0,,idoctor.kz,https://idoctor.kz/almaty/doctor/2519-boshugulova-gulnar-satyibaldievna
Бошугулова Гульнар Сатыбалдиевна,Стоматолог,Алматы,"Стоматологическая клиника ""RadAn""",,,18,0,,idoctor.kz,https://idoctor.kz/almaty/doctor/2519-boshugulova-gulnar-satyibaldievna#review
Бегулиева Бахтигуль Сатеновна,Стоматолог,Алматы,"Стоматологическая клиника ""СЭР""",,,39,0,,idoctor.kz,https://idoctor.kz/almaty/doctor/2520-begulieva-bahyitgul-satenovna
Бегулиева Бахтигуль Сатеновна,Стоматолог,Алматы,"Стоматологическая клиника ""СЭР""",,,39,0,,idoctor.kz,https://idoctor.kz/almaty/doctor/2520-begulieva-bahyitgul-satenovna#review
Кащенко Инга Анатольевна,Стоматолог,Алматы,"Стоматологическая клиника ""RadAn""",,,29,0,,idoctor.kz,https://idoctor.kz/almaty/doctor/2521-kaschenko-inga-anatolevna
Кащенко Инга Анатольевна,Стоматолог,Алматы,"Стоматологическая клиника ""RadAn""",,,29,0,,idoctor.kz,https://idoctor.kz/almaty/doctor/2521-kaschenko-inga-anatolevna#review
Аргынбаев Еркебулан Кожахметович,Хирург,Алматы,"Городская поликлиника №16, Алматы",5,2,11,0,,idoctor.kz,https://idoctor.kz/almaty/doctor/2525-argyinbaev-erkebulan-kojahmetovich
Аргынбаев Еркебулан Кожахметович,Хирург,Алматы,"Городская поликлиника №16, Алматы",5,2,11,0,,idoctor.kz,https://idoctor.kz/almaty/doctor/2525-argyinbaev-erkebulan-kojahmetovich#review
Дурбаев Айбек Жумабекович,ЛОР (отоларинголог),Алматы,"Медицинский центр ""MedMart"" на Ашимова",,,13,0,,idoctor.kz,https://idoctor.kz/almaty/doctor/2529-durbaev-aybek-jumabekovich
Дурбаев Айбек Жумабекович,ЛОР (отоларинголог),Алматы,"Медицинский центр ""MedMart"" на Ашимова",,,13,0,,idoctor.kz,https://idoctor.kz/almaty/doctor/2529-durbaev-aybek-jumabekovich#review
Джакипбаева Айжан Кумискалиевна,Онкомаммолог,Алматы,Меди сервис - Медицинский центр,5,4,29,15800,,idoctor.kz,https://idoctor.kz/almaty/doctor/2807-djakipbaeva-ayjan-kumiskalievna
Джакипбаева Айжан Кумискалиевна,Онкомаммолог,Алматы,Меди сервис - Медицинский центр,5,4,29,15800,,idoctor.kz,https://idoctor.kz/almaty/doctor/2807-djakipbaeva-ayjan-kumiskalievna#review
Иембергенов Аскар Иембергенович,Онкомаммолог,Алматы,KAZMED - Медицинский центр в Аксае,5,1,48,15000,,idoctor.kz,https://idoctor.kz/almaty/doctor/2938-iembergenov-askar-iembergenovich
Иембергенов Аскар Иембергенович,Онкомаммолог,Алматы,KAZMED - Медицинский центр в Аксае,5,1,48,15000,,idoctor.kz,https://idoctor.kz/almaty/doctor/2938-iembergenov-askar-iembergenovich#review
Лялина Диана Арсеньевна,Педиатр,Алматы,Neuronest – Медицинский центр,5,31,13,11000,,idoctor.kz,https://idoctor.kz/almaty/doctor/30033-volf-diana-arsenevna
Бессонов Дмитрий Владимирович,Мануальный терапевт,Алматы,Центр здоровья TVIN,2,3,19,20000,,idoctor.kz,https://idoctor.kz/almaty/doctor/30201-bessonov-dmitriy-vladimirovich
Бессонов Дмитрий Владимирович,Мануальный терапевт,Алматы,Центр здоровья TVIN,2,3,19,20000,,idoctor.kz,https://idoctor.kz/almaty/doctor/30201-bessonov-dmitriy-vladimirovich#review
Шокебаев Адиль Абаевич,Гастроэнтеролог,Алматы,"АО ""Национальный научный центр хирургии"" им. А.Н. Сызганова",5,20,19,5000,,idoctor.kz,https://idoctor.kz/almaty/doctor/30280-shokebaev-adil-abaevich
Шокебаев Адиль Абаевич,Гастроэнтеролог,Алматы,"АО ""Национальный научный центр хирургии"" им. А.Н. Сызганова",5,20,19,5000,,idoctor.kz,https://idoctor.kz/almaty/doctor/30280-shokebaev-adil-abaevich#review
Ли Дже Вон,Иглорефлексотерапевт,Алматы,Hansol - Медицинский центр,5,78,15,3000,,idoctor.kz,https://idoctor.kz/almaty/doctor/30586-li-dje-von
Ли Дже Вон,Иглорефлексотерапевт,Алматы,Hansol - Медицинский центр,5,78,15,3000,,idoctor.kz,https://idoctor.kz/almaty/doctor/30586-li-dje-von#review
Кабдолов Ерлан Имамадиевич,Маммолог,Алматы,Emirmed - Медицинский центр на Розыбакиева,5,9,30,7000,,idoctor.kz,https://idoctor.kz/almaty/doctor/3134-kabdolov-erlan-imamadievich
