doctor_name,specialization,city,clinic,rating,reviews_count,experience_years,price,consultation_format,source,profile_url
Даиров Еркен Кадырханович,Дерматовенеролог,,,,,5,10000,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/dairov-erken-kadyrxanovic/dermatovenerolog
Данилова Диана Садыковна,Эндокринолог,,,,,,6400,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/danilova-diana-sadykovna/endokrinolog
"Даниярова Нургул Бакитжановна,",Акушер-гинеколог,,,,,18,7600,Онлайн,ok.i-teka.kz,"https://ok.i-teka.kz/doctor/daniyarova-nurgul-bakitzanovna,/akuser-ginekolog"
"Даниярова Нургул Бакитжановна,",Акушер-гинеколог детский,,,,,18,7600,Онлайн,ok.i-teka.kz,"https://ok.i-teka.kz/doctor/daniyarova-nurgul-bakitzanovna,/akuser-ginekolog-detskii"
Даузова Фатима Шализовна,Даузова Фатима Шализовна,,,,,5,5000,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/dauzova-fatima-salizovna
Даузова Фатима Шализовна,Аллерголог-иммунолог,,,,,5,5000,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/dauzova-fatima-salizovna/allergolog-immunolog
Девисенко Галина Александровна,Девисенко Галина Александровна,,,,,27,3800,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/devisenko-galina-aleksandrovna
Досибаева Гульсим Кабанбаевна,Досибаева Гульсим Кабанбаевна,,,,,,12700,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/dosibaeva-gulsim-kabanbaevna
Досибаева Гульсим Кабанбаевна,Гастроэнтеролог,,,,,,12700,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/dosibaeva-gulsim-kabanbaevna/gastroenterolog
Доскалиева Айгуль Биккаировна,Доскалиева Айгуль Биккаировна,,,,,25,6400,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/doskalieva-aigul-bikkairovna
Досмагамбетова Гульшара Сагидуллаевна,Дерматокосметология,,,,,20,7600,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/dosmagambetova-gulsara-sagidullaevna/dermatokosmetologiya
Досмагамбетова Гульшара Сагидуллаевна,Дерматовенеролог,,,,,20,7600,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/dosmagambetova-gulsara-sagidullaevna/dermatovenerolog
Досжигитова Сауле Сериккалиевна,Акушер-гинеколог,,,,,29,9300,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/doszigitova-saule-serikkalievna/akuser-ginekolog
Дымык Гульмира Ерболкызы,Дымык Гульмира Ерболкызы,,,,,11,15200,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/dymyk-gulmira-erbolkyzy
Дымык Гульмира Ерболкызы,Гастроэнтеролог,,,,,11,15200,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/dymyk-gulmira-erbolkyzy/gastroenterolog
Дюсенбина Жанбота Досантаевна,Эндокринолог,,,,,7,5100,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/dyusenbina-zanbota-dosantaevna/endokrinolog
Дженалаева Нагиля Асылбековна,Акушер-гинеколог детский,,,,,14,8300,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/dzenalaeva-nagilya-asylbekovna/akuser-ginekolog-detskii
