doctor_name,specialization,experience_years,clinic,city,rating,reviews_count,profile_url
Даирбеков Ернар Ертуғанұлы,Кардиолог • Реабилитолог,,"Детский реабилитационный центр ""ТОКТАМЫС""",Семей (Семипалатинск),0,0,https://doctor.kz/doctors/784325581692337903
Тен Ольга Тхя Хоновна,Врач УЗИ,,"ТОО ""Центр молекулярной медицины""",Алматы,0,0,https://doctor.kz/doctors/43319341696235728
Джаманбекова Дана Куановна,Офтальмолог/ Окулист,,Глазная клиника ДОКТОРА ОМАРОВОЙ,Астана,0,0,https://doctor.kz/doctors/423197961481189300
Заикина Светлана Алековна,Эндокринолог • Эндокринолог детский,,"Медицинский центр ""DOBRO MEDICAL""",Алматы,5,0,https://doctor.kz/doctors/875716101490338087
Жолиев Абдусамад Фахритдинович,Иглотерапевт • Мануальный терапевт • Невропатолог/ Невролог,,"Медицинский центр ""АЛГАМЕД""",Алматы,0,0,https://doctor.kz/doctors/340710061653055096
Ахмедов Рамиз Эльмарович,Андролог • Уролог,,"Медицинский центр ""PREMIUM CLINIC"" на Дулати",Шымкент,0,0,https://doctor.kz/doctors/518444341701337575
Галочкина Оксана Леонидовна,Акушер-гинеколог • Гинеколог,,"TOO ""Alta life""",Алматы,0,0,https://doctor.kz/doctors/866654881499666928
Беседин Борис Владимирович,Врач КТ • Рентгенолог,,"Медицинский центр ""PREMIUM CLINIC"" на Дулати",Шымкент,0,0,https://doctor.kz/doctors/893878141701269832
Жамалов Балтабай Зиятович,Анестезиолог-реаниматолог • Врач функциональной диагностики,,"Медицинский центр ""CARDIOS"" на Казыбек би",Алматы,0,0,https://doctor.kz/doctors/37072281665570157
Танабаев Архат Слямханович,Уролог,,"ПОЛИКЛИНИКА AQMED (8 мкр, 58)",Алматы,0,0,https://doctor.kz/doctors/585133581692200667
Касьяненко Мария Юрьевна,Врач общей практики (ВОП) • ЛОР/ Оториноларинголог,,"Центр ""PRIMA MEDICAL GROUP""",Алматы,0,0,https://doctor.kz/doctors/564482131694590230
Тулешова Калсара Кумисбековна,Акушер-гинеколог • Гинеколог,,"Медицинский центр ""HAYAT MEDICAL""",Алматы,0,0,https://doctor.kz/doctors/807117091671437893
Зюкова Ольга Владимировна,Педиатр,,"TOO ""Alta life""",Алматы,0,0,https://doctor.kz/doctors/193356361481261675
Гребенников Евгений Юрьевич,ЛОР/ Оториноларинголог,,"Центр ""PRIMA MEDICAL GROUP""",Алматы,0,0,https://doctor.kz/doctors/673900531694588136
Жумабекова Карлыгаш Мирзагалиевна,Акушер-гинеколог • Гинеколог • Репродуктолог,,"TOO ""Alta life""",Алматы,4.8,3,https://doctor.kz/doctors/910330731481257581
