doctor_name,specialization,city,clinic,rating,reviews_count,experience_years,price,consultation_format,source,profile_url,price_segment
Артыкбаев Жаксылык Жакыпбекович,Анестезиолог-реаниматолог,Шымкент,"Медицинский центр ""DAUMED""",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/439670561698826437,unknown
Демесинова Баян Косболовна,"Невропатолог, Невролог",Алматы,Городская клиническая больница №1,0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/833953781698653327,unknown
Тё Венец Валерьевич,"ЛОР, Оториноларинголог • Педиатр",Алматы,"Медицинский центр ""МЕДИ-СЕРВИС""",5.0,2.0,,,,doctor.kz,https://doctor.kz/doctors/189771061565236624,unknown
Нарманова Акбота Муратбаевна,Терапевт,Алматы,"Медицинский центр ""МЕДИ-СЕРВИС""",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/77809891632229224,unknown
Измаилова Гульмира Ельтаевна,Терапевт,Алматы,"Медицинский центр ""МЕДИ-СЕРВИС""",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/280813541548152486,unknown
Мусатаева Анар Аскаровна,Педиатр,Алматы,"Медицинский центр ""МЕДИ-СЕРВИС""",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/20265561548154518,unknown
Ольшевский Игорь Евгеньевич,"Офтальмолог, Окулист",Алматы,"Медицинский центр ""МЕДИ-СЕРВИС""",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/837246021548156519,unknown
Хасенова Гульнара Семейгалиевна,Массажист,Алматы,"Медицинский центр ""МЕДИ-СЕРВИС""",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/866213631694067078,unknown
Кар Тахмина Ясыровна,Акушер-гинеколог • Гинеколог,Алматы,"Медицинский центр ""МЕДИ-СЕРВИС""",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/191682521701865477,unknown
Караяниди Наталья Владимировна,Врач УЗИ,Алматы,"Медицинский центр ""КРИАЛ-МЕД""",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/259589241695290204,unknown
Бектаева Рабига Козейбайкызы,Генетик,Алматы,"TOO ""Alta life""",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/776404531738751573,unknown
Сабирова Шолпан Мухамбетгалиевна,"Офтальмолог, Окулист",Алматы,"ТОО ""Лазерный центр Коновалова""",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/207963201695373913,unknown
Хупения Лали Джемаловна,Гастроэнтеролог,Алматы,"Медицинский центр ""GASTROCLINIC"" (ТОО ""ZhanMed (Жанмед)"")",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/405058111515490343,unknown
Сулименко Татьяна Витальевна,Гастроэнтеролог • Пульмонолог • Терапевт,Алматы,"Медицинский центр ""КЕРУЕН MEDICUS""",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/744677241695210912,unknown
Хужаниязов Султан Бобомуратович,Нейрохирург,Шымкент,"Медицинский центр ""DAUMED""",5.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/704114561482301163,unknown
Джанысбаева Насихат Сарсембековна — педиатр-невролог,Невропатолог детский • Педиатр,Алматы,"Медицинский центр ""АРУ""",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/586123151712060329,unknown
Елубаев Ернар Мухитович,"ЛОР, Оториноларинголог",Астана,"ЛОР центр ""Сезiм"" на Богенбай батыра",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/189199921481259063,unknown
Жумагазина Сауле Суанкуловна,"Невропатолог, Невролог",Тараз,"Медицинский центр ""МЕЙІРІМ""",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/83742461484205825,unknown
Абуова Данара Карсибековна,Кардиолог,Алматы,"Медицинский центр ""CARDIOS"" на Казыбек би",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/616138531665569742,unknown
Нам Людмила Петровна,Семейный врач,Алматы,"Медицинский центр ""IMC"" на Муканова",5.0,1.0,,,,doctor.kz,https://doctor.kz/doctors/843638601452575976,unknown
Салимбаева Асель Жанабаевна,Врач УЗИ,Шымкент,"Медицинский центр ""DAUMED""",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/852013771698824758,unknown
Рой Полина Викторовна,Врач УЗИ,Алматы,"ТОО ""Центр молекулярной медицины""",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/39525911695984330,unknown
Лукьянова Наталья Викторовна,Акушер-гинеколог • Гинеколог,Шымкент,"Медицинский центр ""PROFMEDSERVICE""",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/663294081754475730,unknown
Аширов Болат Анварович,Пульмонолог • Терапевт,Шымкент,"Медицинский центр ""DAUMED""",4.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/384175721481694495,unknown
Ли Елена Авдолиевна,Маммолог • Терапевт,Шымкент,"Медицинский центр ""DIVERA"" на Байтерекова",0.0,1.0,,,,doctor.kz,https://doctor.kz/doctors/554082261625111681,unknown
Бурлакова Зухра Караевна,Лаборант,Шымкент,"Медицинский центр ""PROFMEDSERVICE""",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/324081491625125020,unknown
Байтимирова Галина Анатольевна,Массажист,Шымкент,"Медицинский центр ""PROFMEDSERVICE""",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/550235161625305344,unknown
Азимова Дильбар Абдулхамитовна,Акушер-гинеколог • Гинеколог,Шымкент,"Медицинский центр ""PROFMEDSERVICE""",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/289471391544004884,unknown
Гончарик Наталия Александровна,"Офтальмолог, Окулист",Астана,"Медицинский центр ""PROFMEDSERVICE""",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/648321431653477765,unknown
Усманов Равшан Мукумович,"Вертебролог • Мануальный терапевт • Невропатолог, Невролог • Нейрохирург",Шымкент,"Медицинский центр ""PROFMEDSERVICE""",1.0,1.0,,,,doctor.kz,https://doctor.kz/doctors/156691741569467543,unknown
Хамитова Айдана Хамиткызы,Стоматолог • Стоматолог-терапевт,Атырау,"ИП Исмагулов Ж ""Стоматологическая клиника ""СМАҒҰЛ ДЕНТ - ЛЕСХОЗ""",5.0,1.0,,,,doctor.kz,https://doctor.kz/doctors/731097101633946466,unknown
Утегалиева Гульнара Нурлыбаевна,Акушер-гинеколог • Гинеколог • Гинеколог детский,Алматы,"Медицинский центр ""A CLINIC""",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/65512351486538795,unknown
Касимова Дина Пашаевна,"Невропатолог, Невролог",Алматы,"ТОО ""Неврология, эпилептология и реабилитация""",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/554865681692773479,unknown
Зейнилов Мурабек,Травматолог,Караганда,Врачебно-физкультурный диспансер,0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/204997671691662377,unknown
Калтаев Галым,Хирург,Караганда,Врачебно-физкультурный диспансер,0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/686720181691661214,unknown
Колосова Ирина Яновна,Педиатр,Шымкент,"Медицинский центр ""PREMIUM CLINIC"" на Дулати",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/898879731701267191,unknown
Саурыкова Бахытгуль Докторбековна,"Невропатолог, Невролог",Тараз,"Медицинский центр ""МЕЙІРІМ""",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/57169841484214544,unknown
Калибекова Галия Ериковна,Акушер-гинеколог • Гинеколог,Алматы,"Медицинский центр ""A CLINIC""",1.0,1.0,,,,doctor.kz,https://doctor.kz/doctors/228561171481252685,unknown
Куанышева Жанна Мукановна,Ревматолог,Атырау,"Медицинский центр ""OPEN CLINIC""",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/958819611671447319,unknown
Муртазалиева Александра Владимировна,Генетик,Алматы,"ТОО ""Центр молекулярной медицины""",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/763073481695984187,unknown
Кыздарбаева Люция Избасаровна,Гинеколог,Алматы,"ТОО ""Центр молекулярной медицины""",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/434303541481194318,unknown
Акишева Юлдуз Нурдаулетовна,Акушер-гинеколог • Гинеколог,Алматы,"ТОО ""Центр молекулярной медицины""",5.0,1.0,,,,doctor.kz,https://doctor.kz/doctors/623554451490337142,unknown
Искакова Индира Магадалиевна,Дерматовенеролог • Дерматолог,Шымкент,"Медицинский центр ""PREMIUM CLINIC"" на Дулати",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/280185301701267744,unknown
Хен Татьяна Михайловна,"ЛОР, Оториноларинголог",Алматы,"Клиника ""ДОСТАР МЕД А"" в мкр Айнабулак 2, 71 Д",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/726060041693908959,unknown
Даирбеков Ернар Ертуғанұлы,Кардиолог • Реабилитолог,Семей (Семипалатинск),"Детский реабилитационный центр ""ТОКТАМЫС""",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/784325581692337903,unknown
Тен Ольга Тхя Хоновна,Врач УЗИ,Алматы,"ТОО ""Центр молекулярной медицины""",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/43319341696235728,unknown
Джаманбекова Дана Куановна,"Офтальмолог, Окулист",Астана,Глазная клиника ДОКТОРА ОМАРОВОЙ,0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/423197961481189300,unknown
Заикина Светлана Алековна,Эндокринолог • Эндокринолог детский,Алматы,"Медицинский центр ""DOBRO MEDICAL""",5.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/875716101490338087,unknown
Жолиев Абдусамад Фахритдинович,"Иглотерапевт • Мануальный терапевт • Невропатолог, Невролог",Алматы,"Медицинский центр ""АЛГАМЕД""",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/340710061653055096,unknown
Ахмедов Рамиз Эльмарович,Андролог • Уролог,Шымкент,"Медицинский центр ""PREMIUM CLINIC"" на Дулати",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/518444341701337575,unknown
Галочкина Оксана Леонидовна,Акушер-гинеколог • Гинеколог,Алматы,"TOO ""Alta life""",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/866654881499666928,unknown
Беседин Борис Владимирович,Врач КТ • Рентгенолог,Шымкент,"Медицинский центр ""PREMIUM CLINIC"" на Дулати",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/893878141701269832,unknown
Жамалов Балтабай Зиятович,Анестезиолог-реаниматолог • Врач функциональной диагностики,Алматы,"Медицинский центр ""CARDIOS"" на Казыбек би",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/37072281665570157,unknown
Танабаев Архат Слямханович,Уролог,Алматы,"ПОЛИКЛИНИКА AQMED (8 мкр, 58)",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/585133581692200667,unknown
Касьяненко Мария Юрьевна,"Врач общей практики (ВОП) • ЛОР, Оториноларинголог",Алматы,"Центр ""PRIMA MEDICAL GROUP""",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/564482131694590230,unknown
Тулешова Калсара Кумисбековна,Акушер-гинеколог • Гинеколог,Алматы,"Медицинский центр ""HAYAT MEDICAL""",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/807117091671437893,unknown
Зюкова Ольга Владимировна,Педиатр,Алматы,"TOO ""Alta life""",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/193356361481261675,unknown
Гребенников Евгений Юрьевич,"ЛОР, Оториноларинголог",Алматы,"Центр ""PRIMA MEDICAL GROUP""",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/673900531694588136,unknown
Жумабекова Карлыгаш Мирзагалиевна,Акушер-гинеколог • Гинеколог • Репродуктолог,Алматы,"TOO ""Alta life""",4.8,3.0,,,,doctor.kz,https://doctor.kz/doctors/910330731481257581,unknown
Федюкова Евгения Владимировна,Стоматолог детский,Алматы,"Стоматологическая клиника ""WHITESTORY by KIDS SMILE"" на Азербаева",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/53328601619543150,unknown
Ким Галина Михайловна,Врач УЗИ • Терапевт,Тараз,"Медицинский центр ""МЕЙІРІМ""",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/898692551484217070,unknown
Айтжанова Райгуль Климовна,Невропатолог детский • Психиатр детский,Алматы,Центр САТР,0.0,1.0,,,,doctor.kz,https://doctor.kz/doctors/250496701653455202,unknown
Петров Андрей Викторович,"Невропатолог, Невролог • Эпилептолог",Алматы,Институт неврологии и нейрореабилитации имени Смагула Кайшибаева,0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/483751231671543705,unknown
Тулепбекова Наиля Маликовна,Сурдолог,Алматы,Центр САТР,0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/15014951726570464,unknown
Кириллова Мария Николаевна,Сурдолог,Алматы,Центр САТР,0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/855024581726570926,unknown
